Map Name,Density %,Agent #,CBS Sum Of Cost,SIPP Sum Of Cost,CBS Makespan,SIPP Makespan,CBS Time,SIPP Time
.\benchmark\8x8_obst12\map_8by8_obst12_agents12_ex94.yaml,18.75,12,78,79,11,12,0.24233579635620117,0.054854393005371094
.\benchmark\8x8_obst12\map_8by8_obst12_agents12_ex95.yaml,18.75,12,93,95,13,13,6.040051698684692,0.0578460693359375
.\benchmark\8x8_obst12\map_8by8_obst12_agents13_ex63.yaml,18.75,13,81,82,11,11,2.629993438720703,0.05881834030151367
.\benchmark\8x8_obst12\map_8by8_obst12_agents13_ex70.yaml,18.75,13,105,126,11,17,14.848555088043213,0.08776569366455078
.\benchmark\8x8_obst12\map_8by8_obst12_agents16_ex22.yaml,18.75,16,99,104,12,12,4.295573711395264,0.08377385139465332
.\benchmark\8x8_obst12\map_8by8_obst12_agents18_ex31.yaml,18.75,18,91,93,13,11,6.472793340682983,0.09873652458190918
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex0.yaml,18.75,1,8,8,8,8,0.000997304916381836,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex1.yaml,18.75,1,6,6,6,6,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex10.yaml,18.75,1,11,11,11,11,0.003011941909790039,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex11.yaml,18.75,1,6,6,6,6,0.0009763240814208984,0.0009968280792236328
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex12.yaml,18.75,1,3,3,3,3,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex13.yaml,18.75,1,9,9,9,9,0.0,0.0009999275207519531
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex14.yaml,18.75,1,8,8,8,8,0.0,0.0009975433349609375
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex15.yaml,18.75,1,5,5,5,5,0.0010113716125488281,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex16.yaml,18.75,1,2,2,2,2,0.0010197162628173828,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex17.yaml,18.75,1,5,5,5,5,0.0,0.0010204315185546875
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex18.yaml,18.75,1,5,5,5,5,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex19.yaml,18.75,1,5,5,5,5,0.0009753704071044922,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex2.yaml,18.75,1,9,9,9,9,0.0010180473327636719,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex20.yaml,18.75,1,4,4,4,4,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex21.yaml,18.75,1,11,11,11,11,0.002991914749145508,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex22.yaml,18.75,1,5,5,5,5,0.0009982585906982422,0.0
