Map Name,Density %,Agent #,CBS Sum Of Cost,SIPP Sum Of Cost,CBS Makespan,SIPP Makespan,CBS Time,SIPP Time
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex41.yaml,18.75,4,21,21,7,7,0.005008220672607422,0.005984306335449219
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex42.yaml,18.75,4,42,42,16,16,0.005987405776977539,0.010970592498779297
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex43.yaml,18.75,4,15,15,7,7,0.0010004043579101562,0.004987001419067383
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex44.yaml,18.75,4,29,29,11,11,0.008996963500976562,0.005983591079711914
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex45.yaml,18.75,4,21,22,7,8,0.003989458084106445,0.005963325500488281
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex46.yaml,18.75,4,39,39,12,12,0.019966602325439453,0.009974479675292969
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex47.yaml,18.75,4,23,24,7,7,0.0009961128234863281,0.006981372833251953
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex48.yaml,18.75,4,30,30,11,11,0.022938013076782227,0.006981849670410156
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex49.yaml,18.75,4,21,21,7,7,0.0019953250885009766,0.004967451095581055
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex5.yaml,18.75,4,22,22,9,9,0.006980419158935547,0.004987478256225586
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex50.yaml,18.75,4,37,37,13,13,0.7524828910827637,0.009971857070922852
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex51.yaml,18.75,4,24,24,11,11,0.025931358337402344,0.006958484649658203
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex53.yaml,18.75,4,30,30,13,13,0.005007266998291016,0.0069806575775146484
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex54.yaml,18.75,4,20,20,9,9,0.005964517593383789,0.0069539546966552734
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex55.yaml,18.75,4,17,20,10,9,0.004987001419067383,0.0069539546966552734
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex57.yaml,18.75,4,21,21,7,7,0.000997304916381836,0.005964040756225586
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex58.yaml,18.75,4,27,28,9,9,0.002015352249145508,0.006979703903198242
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex59.yaml,18.75,4,18,18,6,6,0.003989458084106445,0.005984067916870117
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex6.yaml,18.75,4,30,31,8,9,0.003989219665527344,0.007999420166015625
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex60.yaml,18.75,4,37,37,11,10,0.04087042808532715,0.00897669792175293
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex61.yaml,18.75,4,28,29,11,12,0.01795172691345215,0.00797891616821289
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex62.yaml,18.75,4,20,20,9,9,0.002992868423461914,0.0059854984283447266
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex63.yaml,18.75,4,38,39,13,13,0.02393507957458496,0.008980035781860352
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex64.yaml,18.75,4,28,28,9,9,0.008986234664916992,0.007978439331054688
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex66.yaml,18.75,4,30,30,9,9,0.01795339584350586,0.007957935333251953
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex67.yaml,18.75,4,40,40,14,14,0.0438838005065918,0.009973287582397461
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex68.yaml,18.75,4,24,24,8,8,0.004986286163330078,0.0069811344146728516
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex69.yaml,18.75,4,20,21,10,11,0.0009965896606445312,0.004986763000488281
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex7.yaml,18.75,4,29,29,9,9,0.002991914749145508,0.007003307342529297
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex70.yaml,18.75,4,37,36,13,14,0.0688173770904541,0.06491374969482422
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex71.yaml,18.75,4,29,29,11,11,0.009970903396606445,0.007978200912475586
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex72.yaml,18.75,4,20,20,7,7,0.008955240249633789,0.00597834587097168
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex73.yaml,18.75,4,31,32,10,10,0.009973526000976562,0.00897359848022461
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex74.yaml,18.75,4,24,24,9,9,0.0119476318359375,0.00696110725402832
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex75.yaml,18.75,4,32,30,10,9,0.06582355499267578,0.006981372833251953
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex76.yaml,18.75,4,32,31,10,9,0.08577203750610352,0.006981372833251953
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex77.yaml,18.75,4,31,31,11,9,0.037899017333984375,0.007956981658935547
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex78.yaml,18.75,4,23,24,8,7,0.007980108261108398,0.0059850215911865234
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex79.yaml,18.75,4,25,25,8,8,0.0020143985748291016,0.0069811344146728516
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex8.yaml,18.75,4,33,33,12,12,0.014942169189453125,0.0069615840911865234
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex80.yaml,18.75,4,25,26,7,9,0.004987001419067383,0.005984306335449219
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex81.yaml,18.75,4,40,41,12,12,0.01894664764404297,0.007982015609741211
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex82.yaml,18.75,4,30,31,9,11,0.028922557830810547,0.006981372833251953
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex83.yaml,18.75,4,27,28,10,10,0.00997304916381836,0.007000446319580078
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex85.yaml,18.75,4,34,34,14,14,0.3371012210845947,0.006981611251831055
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex86.yaml,18.75,4,35,35,13,13,0.020943880081176758,0.0069811344146728516
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex88.yaml,18.75,4,25,25,8,9,0.0069887638092041016,0.006982326507568359
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex89.yaml,18.75,4,35,35,12,12,0.019966840744018555,0.007959365844726562
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex90.yaml,18.75,4,29,29,11,11,0.008975982666015625,0.007001161575317383
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex91.yaml,18.75,4,31,29,11,11,0.03289604187011719,0.007001161575317383
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex92.yaml,18.75,4,34,31,12,10,0.5666496753692627,0.007956743240356445
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex93.yaml,18.75,4,23,23,8,8,0.0019948482513427734,0.005972385406494141
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex94.yaml,18.75,4,18,18,7,7,0.0019948482513427734,0.00598454475402832
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex95.yaml,18.75,4,29,27,10,8,0.029920578002929688,0.006958961486816406
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex96.yaml,18.75,4,19,19,10,10,0.001975536346435547,0.004987239837646484
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex97.yaml,18.75,4,25,27,12,13,0.026949167251586914,0.005983829498291016
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex98.yaml,18.75,4,21,21,10,10,0.0010030269622802734,0.006982088088989258
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex99.yaml,18.75,4,30,30,12,11,0.024953126907348633,0.005984067916870117
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex0.yaml,18.75,5,31,31,8,8,0.014960289001464844,0.009953975677490234
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex1.yaml,18.75,5,40,38,11,11,0.15842938423156738,0.012965679168701172
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex10.yaml,18.75,5,42,40,13,11,0.13681697845458984,0.012965202331542969
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex11.yaml,18.75,5,26,26,11,11,0.0029916763305664062,0.007001161575317383
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex12.yaml,18.75,5,34,34,9,9,0.018948793411254883,0.010970354080200195
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex13.yaml,18.75,5,30,30,12,12,0.004987955093383789,0.007983207702636719
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex14.yaml,18.75,5,28,28,11,11,0.02790379524230957,0.008974790573120117
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex15.yaml,18.75,5,31,31,10,10,0.015958070755004883,0.009972810745239258
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex16.yaml,18.75,5,32,32,12,12,0.003988981246948242,0.011967897415161133
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex17.yaml,18.75,5,26,26,9,9,0.001993894577026367,0.009994268417358398
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex18.yaml,18.75,5,43,41,11,11,0.506005048751831,0.011985540390014648
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex19.yaml,18.75,5,37,38,12,13,0.015952348709106445,0.01196742057800293
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex2.yaml,18.75,5,30,30,12,12,0.01595902442932129,0.008977174758911133
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex20.yaml,18.75,5,25,25,8,8,0.009973764419555664,0.007978677749633789
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex21.yaml,18.75,5,20,25,8,8,0.0010197162628173828,0.007978677749633789
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex23.yaml,18.75,5,35,35,10,10,0.018949508666992188,0.010970354080200195
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex24.yaml,18.75,5,36,38,13,13,0.030918598175048828,0.009973526000976562
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex25.yaml,18.75,5,32,32,9,9,0.042885780334472656,0.00897669792175293
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex26.yaml,18.75,5,39,39,12,12,0.00400996208190918,0.009973287582397461
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex27.yaml,18.75,5,31,31,9,9,0.07677555084228516,0.010972738265991211
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex28.yaml,18.75,5,38,40,14,14,0.0359036922454834,0.011969566345214844
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex3.yaml,18.75,5,44,44,15,15,0.043884992599487305,0.011968135833740234
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex30.yaml,18.75,5,40,50,11,13,0.16956877708435059,0.012984752655029297
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex31.yaml,18.75,5,42,42,12,12,0.0029921531677246094,0.010971784591674805
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex33.yaml,18.75,5,37,35,16,16,1.819164752960205,0.008975744247436523
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex34.yaml,18.75,5,49,43,18,16,0.8591659069061279,0.01296544075012207
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex35.yaml,18.75,5,37,37,14,14,0.11168169975280762,0.011948108673095703
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex36.yaml,18.75,5,22,22,7,7,0.0009982585906982422,0.0069828033447265625
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex39.yaml,18.75,5,22,22,5,5,0.0019958019256591797,0.006960868835449219
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex4.yaml,18.75,5,34,34,8,8,0.0029921531677246094,0.010951042175292969
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex40.yaml,18.75,5,34,35,12,12,0.013962507247924805,0.009974241256713867
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex41.yaml,18.75,5,37,38,10,10,0.07681584358215332,0.009973764419555664
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex42.yaml,18.75,5,37,36,15,15,1.2868387699127197,0.009966373443603516
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex43.yaml,18.75,5,41,43,11,12,0.04986739158630371,0.0109710693359375
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex44.yaml,18.75,5,28,28,8,8,0.008978128433227539,0.007979631423950195
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex45.yaml,18.75,5,29,29,9,9,0.005983591079711914,0.009546756744384766
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex47.yaml,18.75,5,24,24,9,9,0.005986690521240234,0.007980108261108398
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex48.yaml,18.75,5,39,39,11,11,0.01396322250366211,0.011949300765991211
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex49.yaml,18.75,5,40,41,11,12,0.010971307754516602,0.010970592498779297
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex5.yaml,18.75,5,29,30,10,11,0.050864219665527344,0.007002115249633789
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex50.yaml,18.75,5,31,29,12,10,0.040914058685302734,0.009971857070922852
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex51.yaml,18.75,5,37,37,12,12,0.011968374252319336,0.010969877243041992
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex52.yaml,18.75,5,30,30,7,7,0.00897669792175293,0.009973764419555664
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex53.yaml,18.75,5,30,31,10,10,0.028923749923706055,0.011948585510253906
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex54.yaml,18.75,5,30,28,10,9,0.024938344955444336,0.00897359848022461
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex55.yaml,18.75,5,53,51,16,16,0.37699007987976074,0.014959096908569336
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex56.yaml,18.75,5,35,33,10,9,0.0359044075012207,0.010968446731567383
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex57.yaml,18.75,5,38,38,11,11,0.012964963912963867,0.010969400405883789
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex58.yaml,18.75,5,47,53,14,14,3.2176640033721924,0.013963937759399414
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex59.yaml,18.75,5,32,35,8,9,0.00795745849609375,0.009228229522705078
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex6.yaml,18.75,5,35,35,12,12,0.00400853157043457,0.008976221084594727
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex60.yaml,18.75,5,32,33,12,12,0.036898136138916016,0.011948347091674805
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex61.yaml,18.75,5,37,38,12,12,0.04865217208862305,0.0109710693359375
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex63.yaml,18.75,5,41,41,13,13,0.05287909507751465,0.010968685150146484
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex64.yaml,18.75,5,48,50,13,13,0.4129009246826172,0.012950897216796875
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex66.yaml,18.75,5,36,43,10,15,0.012965917587280273,0.012988805770874023
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex67.yaml,18.75,5,43,43,14,15,1.063349962234497,0.011965036392211914
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex68.yaml,18.75,5,34,35,9,9,0.004009246826171875,0.010984182357788086
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex7.yaml,18.75,5,28,28,10,10,0.003013134002685547,0.007980585098266602
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex70.yaml,18.75,5,52,53,12,12,0.09173226356506348,0.014959335327148438
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex71.yaml,18.75,5,36,37,10,10,0.07180953025817871,0.012945413589477539
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex72.yaml,18.75,5,25,25,8,8,0.005005836486816406,0.008960247039794922
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex73.yaml,18.75,5,24,24,9,9,0.053836822509765625,0.00698089599609375
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex74.yaml,18.75,5,36,37,11,11,0.04271554946899414,0.011967897415161133
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex75.yaml,18.75,5,48,50,14,14,0.20747065544128418,0.01396632194519043
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex76.yaml,18.75,5,30,30,11,11,0.13506650924682617,0.008975982666015625
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex77.yaml,18.75,5,39,40,10,10,0.0029916763305664062,0.012984752655029297
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex78.yaml,18.75,5,41,42,13,13,0.013985395431518555,0.01396322250366211
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex79.yaml,18.75,5,36,37,14,14,0.11467504501342773,0.010989904403686523
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex8.yaml,18.75,5,30,32,9,13,0.11966109275817871,0.00797891616821289
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex80.yaml,18.75,5,37,37,13,13,0.04787158966064453,0.009950637817382812
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex82.yaml,18.75,5,34,35,8,9,0.0309140682220459,0.011968612670898438
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex83.yaml,18.75,5,39,39,11,11,0.034909963607788086,0.012964487075805664
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex84.yaml,18.75,5,35,35,9,9,0.022907733917236328,0.009996175765991211
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex85.yaml,18.75,5,38,42,11,12,0.04485464096069336,0.01296544075012207
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex87.yaml,18.75,5,48,50,20,21,3.6405699253082275,0.012965202331542969
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex88.yaml,18.75,5,25,25,9,9,0.00997304916381836,0.008974552154541016
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex89.yaml,18.75,5,37,37,10,10,0.03687763214111328,0.012546777725219727
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex9.yaml,18.75,5,31,33,11,13,0.040888309478759766,0.00897669792175293
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex90.yaml,18.75,5,33,33,9,9,0.012965917587280273,0.011967897415161133
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex91.yaml,18.75,5,47,49,12,12,0.05483388900756836,0.012967348098754883
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex92.yaml,18.75,5,34,31,11,10,0.2044534683227539,0.009952783584594727
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex93.yaml,18.75,5,28,28,10,10,0.015978574752807617,0.009973764419555664
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex95.yaml,18.75,5,36,37,9,11,0.06283140182495117,0.009973764419555664
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex96.yaml,18.75,5,34,37,10,11,0.010970830917358398,0.009973764419555664
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex97.yaml,18.75,5,32,32,12,12,0.03426170349121094,0.01099085807800293
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex98.yaml,18.75,5,41,41,10,10,0.034906864166259766,0.011947393417358398
.\benchmark\8x8_obst12\map_8by8_obst12_agents5_ex99.yaml,18.75,5,39,39,10,10,0.03887629508972168,0.01364755630493164
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex0.yaml,18.75,6,36,36,9,9,0.008954286575317383,0.013962507247924805
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex1.yaml,18.75,6,56,57,13,15,5.164557456970215,0.020975351333618164
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex10.yaml,18.75,6,48,50,12,14,0.3081793785095215,0.014959335327148438
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex11.yaml,18.75,6,58,59,15,14,0.5177130699157715,0.020945310592651367
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex13.yaml,18.75,6,47,45,12,11,7.233680248260498,0.01695847511291504
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex14.yaml,18.75,6,51,50,12,11,0.1037435531616211,0.02094244956970215
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex15.yaml,18.75,6,32,34,8,8,0.019948720932006836,0.011948108673095703
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex16.yaml,18.75,6,21,34,8,8,0.0010192394256591797,0.011948108673095703
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex17.yaml,18.75,6,61,60,13,12,12.30923318862915,0.01797342300415039
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex19.yaml,18.75,6,40,40,10,10,0.017950057983398438,0.013942956924438477
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex2.yaml,18.75,6,36,35,12,10,0.05786609649658203,0.012964725494384766
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex21.yaml,18.75,6,40,39,10,9,0.05285930633544922,0.012965917587280273
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex22.yaml,18.75,6,56,56,16,16,0.019945621490478516,0.021941423416137695
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex23.yaml,18.75,6,42,43,11,11,0.02591085433959961,0.016954898834228516
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex24.yaml,18.75,6,51,52,13,17,2.736492156982422,0.01695537567138672
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex25.yaml,18.75,6,47,46,11,11,0.8278148174285889,0.01695561408996582
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex26.yaml,18.75,6,37,37,13,13,0.01695537567138672,0.016955137252807617
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex27.yaml,18.75,6,42,40,10,8,0.05285978317260742,0.014980316162109375
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex3.yaml,18.75,6,52,53,13,13,0.21804594993591309,0.019926786422729492
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex30.yaml,18.75,6,35,35,10,10,0.01628422737121582,0.020944833755493164
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex31.yaml,18.75,6,38,39,9,9,0.16239261627197266,0.013491630554199219
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex32.yaml,18.75,6,46,46,14,14,0.30115246772766113,0.023964881896972656
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex33.yaml,18.75,6,29,29,8,8,0.006981372833251953,0.012964963912963867
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex34.yaml,18.75,6,57,55,18,16,0.3904740810394287,0.019539594650268555
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex35.yaml,18.75,6,45,43,14,12,0.15922021865844727,0.012964725494384766
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex38.yaml,18.75,6,59,59,14,14,0.022942543029785156,0.019927263259887695
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex39.yaml,18.75,6,42,42,14,14,0.276263952255249,0.01495981216430664
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex4.yaml,18.75,6,41,43,12,13,0.022919416427612305,0.014959573745727539
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex40.yaml,18.75,6,42,43,11,11,0.058843135833740234,0.017933130264282227
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex41.yaml,18.75,6,38,38,12,12,0.191511869430542,0.011966705322265625
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex42.yaml,18.75,6,35,35,9,9,0.02982330322265625,0.010950565338134766
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex43.yaml,18.75,6,46,35,10,9,0.04388141632080078,0.010950565338134766
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex44.yaml,18.75,6,45,45,12,10,0.5934185981750488,0.014960289001464844
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex47.yaml,18.75,6,41,42,11,11,0.07813572883605957,0.015957355499267578
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex49.yaml,18.75,6,53,58,12,13,1.274780511856079,0.018969297409057617
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex5.yaml,18.75,6,26,27,10,11,0.002992391586303711,0.009970664978027344
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex50.yaml,18.75,6,35,37,8,9,0.055852651596069336,0.012965679168701172
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex51.yaml,18.75,6,41,41,15,15,0.051436424255371094,0.014961004257202148
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex52.yaml,18.75,6,40,41,13,14,0.5867180824279785,0.011968135833740234
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex54.yaml,18.75,6,51,49,18,16,0.09676265716552734,0.01894974708557129
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex55.yaml,18.75,6,49,47,18,16,0.3530600070953369,0.019947290420532227
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex57.yaml,18.75,6,38,39,14,14,0.07239103317260742,0.011947393417358398
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex58.yaml,18.75,6,30,30,9,9,0.010970592498779297,0.012987613677978516
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex59.yaml,18.75,6,43,43,11,11,0.019967317581176758,0.013942956924438477
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex6.yaml,18.75,6,45,45,13,13,0.04188871383666992,0.018949270248413086
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex60.yaml,18.75,6,38,39,9,9,0.020944833755493164,0.013942718505859375
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex61.yaml,18.75,6,46,46,13,13,0.012989044189453125,0.016955852508544922
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex62.yaml,18.75,6,35,31,8,8,0.17852306365966797,0.01495981216430664
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex63.yaml,18.75,6,42,43,14,14,0.07081055641174316,0.01296544075012207
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex64.yaml,18.75,6,45,41,13,11,3.3868775367736816,0.013963937759399414
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex65.yaml,18.75,6,42,43,13,13,0.030917882919311523,0.015957117080688477
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex67.yaml,18.75,6,32,32,12,12,0.08275556564331055,0.012524604797363281
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex68.yaml,18.75,6,50,49,14,12,0.09173274040222168,0.019946575164794922
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex69.yaml,18.75,6,35,35,8,8,0.00795745849609375,0.014960050582885742
.\benchmark\8x8_obst12\map_8by8_obst12_agents6_ex7.yaml,18.75,6,50,49,14,14,0.5685055255889893,0.013942241668701172
